row_key,frame_id,feature_ts_ns,tick,ts_s,certified_full,v_full_raw_mps,response_status,history_samples,fresh_tail_samples,recent_samples,fresh_tail_span_s,max_gap_s,last_sample_cap
20260719T201851-50f9dcc8|frame=448|feature_ts_ns=1784492343810478100,448,1784492343810478100,567,11.3421613,True,,ABSENT_RESPONSE,117,2,2,0.035316099999999295,0.12,12
20260719T201851-50f9dcc8|frame=449|feature_ts_ns=1784492343845119900,449,1784492343845119900,569,11.3752823,True,,ABSENT_RESPONSE,118,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=450|feature_ts_ns=1784492343879566500,450,1784492343879566500,570,11.4085347,True,,ABSENT_RESPONSE,118,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=451|feature_ts_ns=1784492343907415600,451,1784492343907415600,572,11.4381817,True,,ABSENT_RESPONSE,118,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=453|feature_ts_ns=1784492343976929900,453,1784492343976929900,575,11.5079172,True,,ABSENT_RESPONSE,118,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=454|feature_ts_ns=1784492344012116300,454,1784492344012116300,577,11.5420286,True,,ABSENT_RESPONSE,119,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=455|feature_ts_ns=1784492344046366600,455,1784492344046366600,579,11.5781452,True,,ABSENT_RESPONSE,120,2,2,0.03611659999999972,0.12,12
20260719T201851-50f9dcc8|frame=456|feature_ts_ns=1784492344074151400,456,1784492344074151400,581,11.6166828,True,,ABSENT_RESPONSE,121,3,3,0.07465419999999945,0.12,12
20260719T201851-50f9dcc8|frame=458|feature_ts_ns=1784492344144049300,458,1784492344144049300,584,11.674838,True,-0.0,VALID,122,4,4,0.1328093999999993,0.12,12
20260719T201851-50f9dcc8|frame=459|feature_ts_ns=1784492344178324200,459,1784492344178324200,586,11.7102532,True,-0.0,VALID,123,5,5,0.16822460000000028,0.12,12
20260719T201851-50f9dcc8|frame=460|feature_ts_ns=1784492344212995200,460,1784492344212995200,587,11.7440094,True,-0.0,VALID,124,6,6,0.2019807999999994,0.12,12
20260719T201851-50f9dcc8|frame=462|feature_ts_ns=1784492344275397000,462,1784492344275397000,590,11.8074484,True,-0.0,VALID,125,7,7,0.2654198000000001,0.12,12
20260719T201851-50f9dcc8|frame=463|feature_ts_ns=1784492344310056800,463,1784492344310056800,592,11.8419711,True,-0.0,VALID,126,8,8,0.2999425000000002,0.12,12
20260719T201851-50f9dcc8|frame=464|feature_ts_ns=1784492344345016900,464,1784492344345016900,594,11.8769384,True,-0.0,VALID,127,9,9,0.33490980000000015,0.12,12
20260719T201851-50f9dcc8|frame=465|feature_ts_ns=1784492344379649100,465,1784492344379649100,596,11.9107788,True,-0.0,VALID,128,10,10,0.36875019999999914,0.12,12
20260719T201851-50f9dcc8|frame=466|feature_ts_ns=1784492344407426500,466,1784492344407426500,597,11.939498,True,-0.0,VALID,129,11,11,0.3974694000000003,0.12,12
