approach_id,cluster_id,flight,flight_id,anchor_frame_id,age_s,age_bin,r_v_mps,rv2_m2ps2,auth_at_latch,n_full_at_latch,span_full_at_latch_s
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,277,0.2,0p20-0p30,0.0,0.0,1.0,11,0.33318662643432617
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,277,0.3,0p30-0p40,0.0,0.0,1.0,11,0.33318662643432617
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,277,0.4,0p40-0p50,0.0,0.0,1.0,11,0.33318662643432617
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,277,0.5,gt0p50,0.0,0.0,1.0,11,0.33318662643432617
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,278,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3333609104156494
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,278,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3333609104156494
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,278,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3333609104156494
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,278,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3333609104156494
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,278,0.5,gt0p50,0.0,0.0,1.0,11,0.3333609104156494
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,279,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3371148109436035
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,279,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3371148109436035
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,279,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3371148109436035
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,279,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3371148109436035
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,279,0.5,gt0p50,0.0,0.0,1.0,11,0.3371148109436035
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,280,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3328239917755127
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,280,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3328239917755127
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,280,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3328239917755127
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,280,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3328239917755127
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,280,0.5,gt0p50,0.0,0.0,1.0,11,0.3328239917755127
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,281,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3294515609741211
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,281,0.2,0p20-0p30,0.0,0.0,1.0,11,0.3294515609741211
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,281,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3294515609741211
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,281,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3294515609741211
