g,tau_s,L_ticks,rows_used,scoring_rows,post_lag_rows,max_horizon_s,max_post_lag_horizon_s,sse,mse,rms_mps,eligible,candidate_type,failing_rule,ineligible_reason
0.0,0.04,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.14,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.24,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.26,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.28,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.3,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.32,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.34,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.36,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.38,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.4,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.42,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.44,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.46,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.48,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.5,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.52,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.54,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.56,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.58,7,51,51,41,0.58,0.58,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.02,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.04,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.14,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,8,51,51,39,0.56,0.56,0.0,0.0,0.0,True,ELIGIBLE,,
