flight_id,frame_id,feature_ts_ns,mono_ns,mapped_tick,tick_mismatch_ns,t_rel_setpoint_grid_s,e_meas_m,range_z_m,v_full_raw_mps,full_history_n,full_history_span_s,input_validity,level_pitch_rad,level_roll_rad
20260719T201851-50f9dcc8,439,1784492343511701600,169013621397000,552,2697400,11.040000000000001,-0.45,8.089222787613886,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,449,1784492343845119900,169013953981900,569,4717700,11.38,-0.45,6.3615968429447545,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,454,1784492344012116300,169014120728200,577,2028600,11.540000000000001,-0.45,5.980561535921432,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,455,1784492344046366600,169014156844800,579,1854800,11.58,-0.45,5.974292534230565,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,456,1784492344074151400,169014195382400,581,3317200,11.620000000000001,-0.45,5.869652575288589,-0.0,4,0.22903156280517578,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,458,1784492344144049300,169014253537600,584,5162000,11.68,-0.45,5.733355217826645,-0.0,5,0.29892945289611816,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,459,1784492344178324200,169014288952800,586,9746800,11.72,-0.45,5.703551041113797,-0.0,6,0.3332042694091797,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,460,1784492344212995200,169014322709000,587,4009400,11.74,-0.45,5.927098772028183,-0.0,7,0.3678750991821289,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,462,1784492344275397000,169014386148000,590,7448400,11.8,-0.45,6.988278046608194,-0.0,8,0.43027710914611816,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,463,1784492344310056800,169014420670700,592,1971100,11.84,-0.45,6.649769644745147,-0.0,9,0.4649367332458496,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,464,1784492344345016900,169014455638000,594,3061600,11.88,-0.45,6.101549173603857,-0.0,10,0.499896764755249,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,465,1784492344379649100,169014489478400,596,9221200,11.92,-0.45,5.567861405757539,-0.0,10,0.36753273010253906,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,466,1784492344407426500,169014518197600,597,502000,11.94,-0.45,5.29018379505204,-0.0,11,0.3953104019165039,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,467,1784492344442116100,169014551634800,599,7064800,11.98,-0.45,5.1149875942073955,-0.0,12,0.42999982833862305,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,468,1784492344477565700,169014587543800,600,8844200,12.0,-0.45,4.899946423435909,-0.0,13,0.46544957160949707,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,469,1784492344512030400,169014622159100,602,3459500,12.040000000000001,-0.45,4.7081342591763065,-0.0,14,0.49991416931152344,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,470,1784492344546184700,169014657651700,604,1047900,12.08,-0.45,4.635769580857399,-0.0,14,0.4998180866241455,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,471,1784492344581696700,169014690687000,606,8012600,12.120000000000001,-0.45,4.594523851907274,-0.0,13,0.43764734268188477,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,472,1784492344608678900,169014717746300,607,953300,12.14,-0.45,4.440074053876845,-0.0,14,0.4646294116973877,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,473,1784492344643483400,169014754234400,609,4465200,12.18,-0.45,4.296342486218924,-0.0,15,0.4994339942932129,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,474,1784492344678577200,169014787470500,610,8770900,12.200000000000001,-0.45,4.181923647072969,-0.0,14,0.46558213233947754,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,479,1784492344844920600,169014953862000,619,4837600,12.38,-0.45,3.813236317798672,-0.0,12,0.49990391731262207,VALID,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,492,1784492345275341100,169015385050600,640,6351000,12.8,-0.45,2.472585531477395,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,494,1784492345344781000,169015454624100,644,4075500,12.88,-0.45,2.2748092535565894,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,538,1784492346809914800,169016920131000,717,1431400,14.34,-0.45,-1.5366512160606403,,1,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,539,1784492346844471800,169016953516200,719,5183400,14.38,-0.45,-1.5779542757395615,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
20260719T201851-50f9dcc8,540,1784492346879228100,169016987750700,720,9051100,14.4,-0.45,-1.6405773580252052,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094
