flight_id,cohort,source_class,term_status_rows,term_status_owner_term_rows,shadow_owner_term_rows,shadow_up_range_mps,term_status_owner_values,path
20260714T113457-36aa6178,fixtures/20260714T114119-phase2f,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T114119-phase2f\20260714T113457-36aa6178-flight.jsonl
20260714T120153-73ed53b1,fixtures/20260714T121124-phase2g,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T121124-phase2g\20260714T120153-73ed53b1-flight.jsonl
20260714T122243-73ed53b1,fixtures/20260714T123203-phase2h,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T123203-phase2h\20260714T122243-73ed53b1-flight.jsonl
20260714T125600-73ed53b1,fixtures/20260714T130512-phase2i,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T130512-phase2i\20260714T125600-73ed53b1-flight.jsonl
20260714T132354-80030858,fixtures/20260714T134021-phase2j,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T134021-phase2j\20260714T132354-80030858-flight.jsonl
20260714T141416-1429a43c,fixtures/20260714T143643-phase2k,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T143643-phase2k\20260714T141416-1429a43c-flight.jsonl
20260714T142516-d195adf3,fixtures/20260714T143643-phase2k,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T143643-phase2k\20260714T142516-d195adf3-flight.jsonl
20260714T153715-1429a43c,fixtures/20260714T181113-phase2l,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T181113-phase2l\20260714T153715-1429a43c-flight.jsonl
20260714T154340-77aba731,fixtures/20260714T181113-phase2l,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T181113-phase2l\20260714T154340-77aba731-flight.jsonl
20260714T201758-58cd98ad,fixtures/20260714T203252-phase3a-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T203252-phase3a-r2training\20260714T201758-58cd98ad-flight.jsonl
20260714T202447-58cd98ad,fixtures/20260714T203252-phase3a-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T203252-phase3a-r2training\20260714T202447-58cd98ad-flight.jsonl
20260714T202743-58cd98ad,fixtures/20260714T203252-phase3a-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T203252-phase3a-r2training\20260714T202743-58cd98ad-flight.jsonl
20260714T210518-58cd98ad,fixtures/20260714T212450-phase3b-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T212450-phase3b-r2training\20260714T210518-58cd98ad-flight.jsonl
20260714T210844-58cd98ad,fixtures/20260714T212450-phase3b-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T212450-phase3b-r2training\20260714T210844-58cd98ad-flight.jsonl
20260714T211404-58cd98ad,fixtures/20260714T212450-phase3b-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T212450-phase3b-r2training\20260714T211404-58cd98ad-flight.jsonl
20260715T044545-411f3135,fixtures/20260715T052244-phase3c-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T052244-phase3c-r2training\20260715T044545-411f3135-flight.jsonl
20260715T045100-411f3135,fixtures/20260715T052244-phase3c-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T052244-phase3c-r2training\20260715T045100-411f3135-flight.jsonl
20260715T045458-411f3135,fixtures/20260715T052244-phase3c-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T052244-phase3c-r2training\20260715T045458-411f3135-flight.jsonl
20260715T051458-6092dbc0,fixtures/20260715T052244-phase3c-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T052244-phase3c-r2training\20260715T051458-6092dbc0-flight.jsonl
20260715T121747-22978559,fixtures/20260715T135600-phase3d-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T135600-phase3d-r2training\20260715T121747-22978559-flight.jsonl
20260715T122040-22978559,fixtures/20260715T135600-phase3d-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T135600-phase3d-r2training\20260715T122040-22978559-flight.jsonl
20260715T122352-22978559,fixtures/20260715T135600-phase3d-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T135600-phase3d-r2training\20260715T122352-22978559-flight.jsonl
